Date,Open,High,Low,Close,Adj Close,Volume
2013-06-17,194.493301,196.147232,193.642441,194.110901,135.429520,3368015
2013-06-18,194.091782,197.026764,193.948380,195.860428,136.650192,3428579
2013-06-19,195.449326,196.013382,193.049713,193.059280,134.695847,2977021
2013-06-20,191.845123,192.829834,188.604202,188.671127,131.634247,4722481
2013-06-21,189.770554,189.789673,185.028687,186.864243,130.373657,9324881
2013-06-24,185.458893,186.338425,182.925430,185.028687,129.092957,4556585
2013-06-25,186.720840,186.988525,184.655838,186.405350,130.053406,4023125
2013-06-26,187.351822,187.600388,185.946457,186.290634,129.973389,3472929
2013-06-27,187.428299,188.240921,186.701721,187.045883,130.500290,3675853
2013-06-28,183.298279,184.187378,180.124283,182.705551,127.472092,10518367
2013-07-01,183.699814,185.277252,182.715103,182.868073,127.585449,4646750
2013-07-02,182.390060,184.732315,181.892929,183.078400,127.732239,3825954
2013-07-03,182.581268,185.678772,182.131927,184.751434,128.899521,1958740
2013-07-05,185.936905,186.577438,183.891006,186.357559,130.020096,2516048
2013-07-08,186.998093,187.170166,186.051620,186.405350,130.053406,3083085
2013-07-09,183.441681,184.321228,182.390060,182.887192,127.598831,5443593
2013-07-10,183.087952,184.923523,182.858505,183.795410,128.232498,4071032
2013-07-11,185.258133,185.573608,184.139572,184.321228,128.599380,4369665
2013-07-12,184.579346,185.181641,183.164429,183.623322,128.112473,4701456
2013-07-15,183.957932,186.319305,183.250473,185.468445,129.399765,5935736
2013-07-16,185.506699,186.022949,184.206497,185.325043,129.299713,3917584
2013-07-17,186.156784,186.319305,184.541107,185.994263,129.766632,7184346
2013-07-18,189.550674,192.103256,187.370941,189.282990,132.061142,8779496
2013-07-19,189.206497,189.282990,184.741867,185.028687,129.092957,7319490
2013-07-22,184.894836,187.179733,184.780121,185.554489,129.459824,3554308
2013-07-23,185.669220,187.791580,185.564056,186.405350,130.053406,2995535
2013-07-24,187.332703,188.623322,187.246658,187.963669,131.140656,3093963
2013-07-25,187.667297,189.130020,187.055450,188.546844,131.547531,3152958
2013-07-26,187.944550,188.690247,186.424469,188.671127,131.634247,2599415
2013-07-29,188.173996,188.518158,186.931168,187.581268,130.873840,2210930
